text,sentiment
Vill verkligen varna samtliga för detta oseriösa företag. De har felbehandlat mig samt när jag kom tillbaks och var missnöjd och visade upp detta så sa ägaren att jag skulle gå hem och lägga mig så skulle svullnaden lägga sig. Natten därpå vaknade jag o fick inte upp ena ögat. Har fått reda på av två andra kliniker att man inte lägger de två preparaten samtidigt pga stor risk för komplikationer. Fick knappt hjälp och dessutom var ägaren mycket otrevlig! Vad ni än gör - gå inte dit!,negative
"Punktliga och snabba, och till ett mycket bra pris.",positive
Gjorde Hifu behandling här i augusti. De hade ett erbjudande på denna och jag fick betala 6000 kr. Gjorde misstaget att tro att detta kunde jämföras med Ulthera som är originalet men det är inte samma behandling nu ett par månader efter behandlingen ser jag fortfarande ingen skillnad alls.  Det står att ursprungliga priset på denna behandling är över 20 000 kr och jag hoppas verkligen att ingen går och betalar det priset för denna behandling som är helt värdelös.,negative
"Trevlig personal, bra tandläkare , väldigt hänsynsfulla mot tandläkar rädda",positive
"Hej, Inte alls nöjd med Hemfrid. Städningen är för dålig i förhållande till vad jag betalar för helt enkelt. Hade en annan städfirma tidigare (hon flyttade vilket tyvärr gjorde att jag behövde hitta en ny) och skillnaden i städning var enorm. Här är det jag inte gillar med Hemfrid: -Städningen inte tillräckligt bra. I överenskommet kontakt står vad som ska ingå i städning. Exempelvis: Dammsugning, våttorkning av golv och torkning av lister. Ofta när jag kom hem hade enbart golv dammsugits, men våttorkning av golv och torkning av lister hoppats över. -Överenskommelsen var städning en gång var fjärde vecka, men Hemfrid bokade städning oftare och tog betalt för detta (vid ett tillfälle endast två veckors mellanrum mellan städningarna). -Trots att nyckel lämnats till Hemfrid kom städarna ofta utan nyckel. Vilket ledde till en massa telefonsamtal under kundmöten och dylikt av karaktären ""Jag är utanför din port nu och kommer inte in..."" -Städarna verkade ofta inte veta vad de skulle städa när de kom, det vill säga vad som ingick i överenskommelsen, vilket ledde till att de hoppade över saker i städningen. -En dyr firma i förhållande till vad man får för pengarna. Ofta fick jag städa extra själv i efterhand. ",negative
Vi är helt nöjda med det arbete Patrik Boström gjort i samband med vår husförsäljning.,positive
Usel aftersales service........................,negative
Bra och trevlig service. Rimliga priser.,positive
Köpte en luftvärmepump med Airpatrolenhet för att kunna SMSa m pumpen. Köpte också installation av hela paketet. Airpatrolenheten fick jag installera själv och det var ett helvete. Enheten har inte heller fungerat särskilt bra.,negative
"Ewa är trevlig, kunnig och proffsig.  Rekommenderar!",positive
Köpte en aggregat för 48 000 kr Sämsta företag som jag har sett i hela livet vi kom överens att rensa alla ventilations rör ni gjorde inte han som montera aggregatet montera fel och kunde ingenting sen montera om igen soporna till gamla aggregat var ute 1 månad tills jag ringde många gånger att de kom och hämta sopor sen det blev försenat  några veckor  än vad vi hade kommit överens om han kunde absolut ingenting han som montera kollade på youtube hur man gör ändå montera de fel och säger fel på aggregat,negative
"Proffsigt utfört jobb när vi bytte ut vår entredörr, rekommenderar varmt Stockholm Rot AB. Trevliga och kunniga snickare.",positive
"Mycket besviken på ledningens övertro på sin förträfflighet. Man vill vara i premiumklass och signalerar detta med sina höga priser som enbart gör en besviken. De serverade djupfrysta räkor till skaldjursplatån, dessutom 6-8 månader gamla räkor. Inte OK när man betalar 595 kr för en sådan. Räkorna smakade dessutom ammoniak i botten. Kunde inte äta upp dem! Trevlig men lite okunnig service dock. Ta ner förväntan ordentligt innan ni bokar, om ni måste.",negative
Gjorde ett bra jobb och fick allt rent!,positive
"Mest oseriösa skit företaget som jag någonsin varit med om. Har mejlat de 4 gånger, ingen återkoppling alls. Jag har även ringt de på 070-7687587, dock är det telefonnumret avstängt. Lika dålig respons via Instagram. Jag beställde min mat den 29/9 och idag är det den 4/11.  Jag har dessutom inte fått mina pengar tillbaka vilket jag bad om i mitt senaste mejl.  Så nu kommer jag göra en polisanmälan mot de. De oseriösa pajaser som driver Mega Meals bör aldrig få driva ett bolag överhuvudtaget. Idioter som inte vet hur man ens öppnar sin mejl som det verkar som.  Så om man inte gillar att beställa mat man aldrig får från ett bolag där all kommunikation är bara ett svart hål så ska man ALDRIG beställa från högen av bajs som kallas för Mega Meals. ",negative
"Mycket bra service, trevliga männkiskor som kom trots kort varsel. Inga anmärkningar på städningen och bra pris. Rekommenderas!",positive
Ett av de mest oseriösa företag jag har haft att göra med. De bytte en gummiring vilket tog 10 minuter och debiterade nästan 3 000 kr.,negative
jag hittade en julklapp till sambon som han hade önskat sig. tack för det!,positive
"Balcony biljetter. Dålig mat.. vi var15 personer var av 2 tyckte om förrätten.. Showen i sig var dåligt, duktig sångerska och akrobater de andra var en transa som bla. drog upp folk från publiken och psikade och satte sig på dom sexuellt? show-mannen som gjorde trix var okej men fanns ingen röd tråd i showen.",negative
Världens bästa bilfirma ever. Vill ni ha god service och en trevlig på litlig bilaffär så vänd er till denna bilfirma Haninge bilpark.Super trevliga grabbar.Högsta betyg!!!!,positive
Försenad leverans där colourpicture inte tig på sig ansvaret. Praxis är väl annars att den man beställer av tar ansvaret för leverans också.,negative
Bästa städfirman någonsin! Jag längtar tills dom kommer hit igen! Carola är trevlig och noggrann och jag är såklart jätte jättenöjd!!,positive
"Lång väntetid. Ett litet skitfel, dyrt. Skulle bli klar onsdag. Då hade man inte ens tittat på den. Har använt denna verkstad ca 10 ggr med tre olika bilar för service och reparationer. Detta var dock den sista. Förra gången fick jag bogsera tillbaka bilen efter en dag.",negative
Per Stenmark var så aktiv/possitiv hela väg och jag rekommenderar honom starkt när ni ska sälja din bostad!,positive
"Beställde en enklare rördragning och fick ett pris. Bad om skriftlig offert som aldrig kom, utan de satte igång arbetet ändå. Ett enklare jobb som skulle bli klart på en dag, men som med spridda jobbtimmar inte blev klart förens mer än en vecka senare. Rördragningen blev inte som överenskommet utan går en märklig väg. Priset blev sedan tre gånger så högt. Efter timmar i telefon med att försöka få besked om varför priset tredubblades, så landade fakturan på drygt det dubbla enligt överenskommet. Dvs dubbelt så dyrt som de lämnat pris på. Jag vill varna för detta företag som lurade mig som privatkund.",negative
Trevlig  och positiv kontakt från början. Väl utfört arbete. Bra början på vad jag hoppas blir en lång relation.,positive
"Beställde paj, som dock lät god i beskrivningen. Fick in en Felix fryspaj på tallriken som man värmer i micron. Jag betalar inte 70 spänn för en fryspaj igen! Annars ett ok lunchställe, när man har lite bråttom och om man vill ha sallad..",negative
Tillgänglig och resolut behandling. Jag kände mig sedd som kund/patient och upplevde att behandlingen var starkt individualiserad. Inte löpande band.,positive
"http://www.audiforum.nu/showthread.php?t=102&page=1 Varning: Service / Kundvård Audi Stockholm Hammarby  Inte enda problemet jag haft med Audi heller. Efter att ha kört förbi service intervallet med typ 80 mil kexade motorn igen p.g.a long-life servicarna. Tydligen välkänt problem.   I visited Audi Hammarby in Stockholm to get help with my Audi only to see them breaking it even more....  http://www.facebook.com/group.php?gi...4203864&v=wall  ""Got my towing hook destroyed by dealer Din Bil Stockholm, Hammarby after leaving it there for a ""stuck towing hook"" ... It was not 100% working but they managed to break it beyond repair. Called service manager Per Molin who simply said... We didn't do it... And that was that. To avoid ruining my vacation mood I found this matching fb group!! perfect! Thanks! I feel better already""  Today I got a response from an even higher service manager about this matter. He basically sent me a pricetag to get it fixed. full price no nothing. 2000$ to replace the hook they managed to destroy even more. When I left it at Audi Stockholm it was ""only"" stuck due to me neglecting to remove it for too long. They busted the locking mechanism totally making it impossible to service it in any way....  Maybe not the cars fault but it shows what you get for choosing a ""premium"" brand... Sell the car and then f-ck the customer... ",negative
"Super härlig personal som var lätt att göra med, ändra sig efter vår ”behov” Klokrent att gäster får ta med egen dryck och snacks! ",positive
"Rekommenderas STARKT EJ för större projekt! Jag är en av bostadsrättinnehavarna som fick min lägenhet stambytt under sommaren/hösten/vinter 2013. Min brf består av 55 lägenheter.  Detta måste vara en av de sämre hanterade stambyteprojekt som jag någonsin har hört eller sett!  Denna lista kan göras väldigt lång men jag tar de mest anmärkningsvärda saker:  *Vi fick tre platschefer under projektets gång. Första fick ""kicken"" och skulden för att allt gick så dåligt, vilket jag tyckte var VÄLDIGT anmärkningsvärt.  Ganska lätt att skylla på en stackare som inte ens finns kvar för att försvara sig! Den sista var dock riktig service-minded och stod upp för det han sade/lovade! Det ska han definitivt ha cred för!  *Min etapp tog hela 13(!) veckor att slutföras! Större delen av sommaren var det bara några enstaka jobbare som körde stambytet. Noll information kom från ansvarig platschef, vi visste knappt vad som skulle ske! Detta mot utlovade ca 6 veckor.  *NOLL INFORMATION! Jättefrusterande, framförallt i början, då man fick knappt någon information. Man ringde upp platschefen men blev aldrig uppringd som lovat. Samt definitivt heller ingen återkoppling. Som ofta fick man höra ""det ordnar sig"", ""vi löser detta"", ""inga problem"" för att inte få någon återkoppling eller slutdatum överhuvudtaget. Detta blev dock bättre senare (iomed ny platschef) men då var min etapp i stort sett redan klar. Först då började vi se veckoplaneringen och annat så att man själv kunde planera sin vardag.  *Utlovade skydd som skulle monteras innan start av stambyte fick vi aldrig såsom slussar. Detta trots att det var avtalat. Detta ledde till att vår lägenhet blev väldig dammig och skitig, mer än nödvändigt. Vissa interiöra skador uppstod i lägenheten.  *Felaktiga varor som nästan eller blev monterade. Byggarna frågade mig(!) om var saker och ting skulle monteras, detta trots en plan fanns! Stundtals total förvirring.  *Läget vid besiktningen var ett skämt. Långtifrån allt var klart då det var dags att besikta.  *BYGGFUSK! Jag hade en stark känsla att byggarna hade gjort en åtgärd lite väl fort. Så jag frågade dem om dom verkligen hade gjort det rätt. Jag fick svaret att det hade dom minsann gjort. Men jag stod på mig och bad dom att montera ner. Då upptäckte vi att dom hade verkligen FUSKAT och platschefen fick helt enkelt erkänna detta. Eftersom fusket var i våtrum så kunde en ev framtida skada få större ekonomiska konsekvenser för mig, då garantin inte skulle ha hjälpt. Efter upptäckten så åtgärdes felet dock per omgående. Problemet är ju dock att fusket hade kvarstått om jag inte var så på dom.  *Vi har redan fått driftstopp i det nya stammen (vet dock inte orsaken) men detta bådar inte gott för framtiden (detta ska ju ändå hålla sisådär 30år!).  *Fast vår etapp var klar sedan månader tillbaka så fick min etapp leva med nästan 2 veckor utan vatten och avlopp under vintern. Dett pga missberäkning och jobbet fick göras om. Kan dock inte skylla detta helt på Titania av det lilla jag vet.  Summa summaro;  Jag rekommenderar starkt EJ Titania vid större stambyten. ",negative
På plats blev installationen snabbt avklarad när montörerna val accepterade den gamla rördragningen.,positive
Jag har tyvärr inte fått delarna änn så de blir svårt att ge någe betyg ännu.,negative
"Lättsam personal, god mat och vänliga mot hundar. Härlig upplevelse.",positive
"Parkettspecialisten använder underleverantörer och har inte koll på personerna som utför arbetet eller kvalitén på slutresultat. Jag undrar egentligen vad deras syfte är, då allt vi kom överens om blev fel: 1) Lackfärg på golvet 2) Förseningar 3) Total tidsåtgång I tillägg till kontaktpersonen på Parkettspecialisten, var jag i kontakt med 5 olika personer under uppdraget. En man & kvinna som hämtade nyckeln, kvinnans dotter, två slipare varav den ena inte var på plats under hela dagen (trots att han själv meddelade att han vår på väg via telefon). Detta var för övrigt det enda namnet vi fått från Parkettspecialisten i förväg.  När jag började ifrågasätta namn på personer med åtkomst till vår lägenhet var Parkettspecialisten omöjliga att få tag på, - svarar inte på sms, ringer inte tillbaka och känner inget ansvar överhuvudtaget.  I tillägg till ovan var det i stort sett omöjligt att kommunicera med underleventören pga språkförbristningar (varken engelska eller svenska fungerade).  Slipningsresultatet blev OK, dock mycket smuts i lacken och även något skomärke. Det var heller inte städat efteråt; fasttorkat lack i handfat/papperskorg osv. som krävde grovrengöring. ",negative
"Mycket bra bemötande. Tydlig offert, konkurrenskraftigt pris.",positive
...........................................................................................................................................................................................................................................,negative
"Genomtänkt meny, trevlig personal och god mat.",positive
"9000 kr bortkastade!Torftigt protokoll, inga foton.""En lite avvikande lukt i hallen"" visade sig vara stående vatten i skreva under huset, mikrobakteriell påväxt under halva huset som måste saneras, riva upp golvet?Ingen rekommendation att gå vidare med ""dö råtta lukten"". Mögel och Bakteriekontroll, MBK med sin mögelhund såg och dokumenterade med foto. Men då hade vi redan skrivit på Köpekontraktet !",negative
Väldigt trevligt bemötande och bra och snabb service ! Inget att klaga på ! Dessutom jättegod mat :-)),positive
"Colourpicture levde inte upp till våra förväntningar. Av 3 beställningar blev 2 av dem fel. Ena gången fick vi foliera om produkten själva. Dem levererade en ny folie, men erbjöd sig inte att byta ut den som dem felaktigt monterat.  Vid en prisjämförelse på 5 lokala företag inom en radio på 30 km så låg dem 100 procent dyrare än 4 av dem andra.  I våra ögon är dem ett väldigt oseriöst företag som vi inte kommer anlita igen. ",negative
Viktor hjälpe mig med en värdering av min lägenhet. Otroligt kunnig och påläst om marknaden och jag blev mycket nöjd med värderingen. När det blir dags för att sälja är Viktor absolut en av toppkandidaterna.,positive
"Varning! Försökte också utan framgång betala med kort. Fick inga varor, alla svarar  olika när man till slut tjatar varje dag i 2 mån, valde sedan att avbryta köpet, tog 1,5 mån att få tillbaka pengar, även här olika bud från de man pratar med. Vill varna andra här! Har även skickat till Plus via nätet, vore bra om fler jorde det så kanske de tar upp det!",negative
"Snabbt, trevligt och enkelt att vara kund. Överraskande bra upplevelse. Kommer anlitas igen.",positive
Vart så ..... lurad av det här företaget så mina rekommendationer är att ha så lite som möjligt med dom att göra! Kontakta mig på facebook om ni vill veta mer. Mvh/Fredrik,negative
